Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
2018-19,12/1/19,Villarreal,Getafe,1,2,A,0,0,D
2018-19,13/01/2019,Ath Bilbao,Sevilla,2,0,H,1,0,H
2018-19,13/01/2019,Ath Madrid,Levante,1,0,H,0,0,D
2018-19,13/01/2019,Barcelona,Eibar,3,0,H,1,0,H
2018-19,13/01/2019,Betis,Real Madrid,1,2,A,0,1,A
2018-19,14/01/2019,Sociedad,Espanol,3,2,H,2,2,D
2018-19,18/01/2019,Getafe,Alaves,4,0,H,1,0,H
2018-19,19/01/2019,Celta,Valencia,1,2,A,1,0,H
2018-19,19/01/2019,Huesca,Ath Madrid,0,3,A,0,1,A
2018-19,19/01/2019,Real Madrid,Sevilla,2,0,H,0,0,D
2018-19,20/01/2019,Barcelona,Leganes,3,1,H,1,0,H
2018-19,20/01/2019,Betis,Girona,3,2,H,1,2,A
2018-19,20/01/2019,Levante,Valladolid,2,0,H,1,0,H
2018-19,20/01/2019,Vallecano,Sociedad,2,2,D,2,1,H
2018-19,20/01/2019,Villarreal,Ath Bilbao,1,1,D,0,1,A
2018-19,21/01/2019,Eibar,Espanol,3,0,H,1,0,H
2018-19,26/01/2019,Ath Madrid,Getafe,2,0,H,2,0,H
2018-19,26/01/2019,Leganes,Eibar,2,2,D,0,2,A
2018-19,26/01/2019,Sevilla,Levante,5,0,H,0,0,D
2018-19,26/01/2019,Valencia,Villarreal,3,0,H,1,0,H
2018-19,27/01/2019,Ath Bilbao,Betis,1,0,H,1,0,H
2018-19,27/01/2019,Espanol,Real Madrid,2,4,A,1,3,A
2018-19,27/01/2019,Girona,Barcelona,0,2,A,0,1,A
2018-19,27/01/2019,Sociedad,Huesca,0,0,D,0,0,D
2018-19,27/01/2019,Valladolid,Celta,2,1,H,0,1,A
2018-19,28/01/2019,Alaves,Vallecano,0,1,A,0,0,D
2018-19,1/2/19,Huesca,Valladolid,4,0,H,1,0,H
2018-19,2/2/19,Barcelona,Valencia,2,2,D,1,2,A
2018-19,2/2/19,Celta,Sevilla,1,0,H,0,0,D
2018-19,2/2/19,Levante,Getafe,0,0,D,0,0,D
2018-19,2/2/19,Sociedad,Ath Bilbao,2,1,H,2,0,H
2018-19,3/2/19,Betis,Ath Madrid,1,0,H,0,0,D
2018-19,3/2/19,Eibar,Girona,3,0,H,1,0,H
2018-19,3/2/19,Real Madrid,Alaves,3,0,H,1,0,H
2018-19,3/2/19,Villarreal,Espanol,2,2,D,1,0,H
2018-19,4/2/19,Vallecano,Leganes,1,2,A,0,1,A
2018-19,8/2/19,Valladolid,Villarreal,0,0,D,0,0,D
2018-19,9/2/19,Ath Madrid,Real Madrid,1,3,A,1,2,A
2018-19,9/2/19,Espanol,Vallecano,2,1,H,0,1,A
2018-19,9/2/19,Getafe,Celta,3,1,H,1,1,D
